"Iteration"	"sampleSize"	"movieName"	"grain"	"testCond"	"minCorrelation"	"maxCorrelation"	"actCorrelation"	"agreementIndex"
1	2	"3Iron"	"c"	"sample"	-0.0370291945982644	0.836242644677471	0.0143397371238377	0.0588235294117647
1	2	"3Iron"	"c"	"random"	-0.0370291945982644	0.836242644677471	0.0143397371238377	0.0588235294117647
1	2	"3Iron"	"c"	"crossMov"	-0.0410950830821371	0.871819619386408	0.0188582016185836	0.0647773279352227
1	2	"3Iron"	"f"	"sample"	-0.160946732733603	0.862602151841892	0.0615638943480268	0.217391304347826
1	2	"3Iron"	"f"	"random"	-0.160946732733603	0.862602151841892	0.0467298525425848	0.202898550724638
1	2	"3Iron"	"f"	"crossMov"	-0.210954524625533	0.753503761466114	-0.000862096645204376	0.220041862899006
1	2	"Corn"	"c"	"sample"	-0.0252975778229355	0.929264358695831	0.121558104718413	0.153846153846154
1	2	"Corn"	"c"	"random"	-0.0252975778229355	0.929264358695831	-0.0252975778229355	0
1	2	"Corn"	"c"	"crossMov"	-0.0433525082977005	0.597978568506105	0.0201831102323615	0.0982142857142857
1	2	"Corn"	"f"	"sample"	-0.138818697986762	0.983629631449054	0.00974063973268453	0.132352941176471
1	2	"Corn"	"f"	"random"	-0.138818697986762	0.983629631449054	0.0427538258925615	0.161764705882353
1	2	"Corn"	"f"	"crossMov"	-0.206284365018016	0.693343434240778	-0.00264832021767998	0.226506024096386
1	4	"3Iron"	"c"	"sample"	-0.0784488696191728	0.679061500454098	0.113787572969964	0.249049049049049
1	4	"3Iron"	"c"	"random"	-0.0864622553626583	0.56649864586128	-0.0756855856035671	0.0136206896551724
1	4	"3Iron"	"c"	"crossMov"	-0.0924663245357477	0.563120792123414	0.018666397470813	0.16406148317913
1	4	"3Iron"	"f"	"sample"	-0.177416276874184	0.716362873966233	0.0888226625954714	0.303268560506441
1	4	"3Iron"	"f"	"random"	-0.177639343711812	0.705994060232724	0.0847587041121918	0.300148136177548
1	4	"3Iron"	"f"	"crossMov"	-0.208213139257201	0.689785057827775	-0.0116809453087299	0.217582709687973
1	4	"Corn"	"c"	"sample"	-0.0683083626651274	0.549327660105845	0.0116969515736492	0.131846384253316
1	4	"Corn"	"c"	"random"	-0.0693473352057144	0.512658365515978	-0.024178101349501	0.088663350449294
1	4	"Corn"	"c"	"crossMov"	-0.0825596881528993	0.652572516317725	0.0134587659944803	0.121637262947601
1	4	"Corn"	"f"	"sample"	-0.174098296873362	0.694271311461337	0.07544407917305	0.294405889007478
1	4	"Corn"	"f"	"random"	-0.180231506571034	0.63485267952013	-0.00665759517224355	0.217230394652007
1	4	"Corn"	"f"	"crossMov"	-0.20366294132433	0.704178126717707	-0.0223010604718918	0.192797128156473
1	6	"3Iron"	"c"	"sample"	-0.0535980047593026	0.612902102545672	0.194201320779672	0.427342047930283
1	6	"3Iron"	"c"	"random"	-0.0621113647797255	0.532367973790717	-0.0106169802354873	0.0806060606060606
1	6	"3Iron"	"c"	"crossMov"	-0.0593370366662328	0.646797451630918	0.0378582133274081	0.132659932659933
1	6	"3Iron"	"f"	"sample"	-0.209774559454168	0.728563021364303	0.239336425743705	0.48686372813782
1	6	"3Iron"	"f"	"random"	-0.252548869412091	0.646306451682856	0.0109710286208844	0.291598364544817
1	6	"3Iron"	"f"	"crossMov"	-0.217572654784693	0.749299720503801	0.0239544404051132	0.248486720791844
1	6	"Corn"	"c"	"sample"	-0.0564269454827617	0.690190350406062	0.191764665790318	0.364358010410642
1	6	"Corn"	"c"	"random"	-0.0659402207858125	0.519349927561792	-0.00842476269931903	0.103817225338029
1	6	"Corn"	"c"	"crossMov"	-0.0624768036395918	0.659189644676724	0.0397830743140949	0.141335978835979
1	6	"Corn"	"f"	"sample"	-0.20285225122451	0.759468474347366	0.247976656903893	0.470766891927493
1	6	"Corn"	"f"	"random"	-0.246739849606487	0.664947684227806	0.00495191951002428	0.275929091676634
1	6	"Corn"	"f"	"crossMov"	-0.226193881131416	0.753624857353499	0.0186166958338422	0.248524448824422
1	8	"3Iron"	"c"	"sample"	-0.108639879227724	0.630265101487008	0.0696231700466877	0.238265918877892
1	8	"3Iron"	"c"	"random"	-0.11969713377192	0.538077063305224	-0.0176838155073414	0.149806901212458
1	8	"3Iron"	"c"	"crossMov"	-0.0897515680686028	0.712477558735959	-0.00990671874301335	0.0947610304671105
1	8	"3Iron"	"f"	"sample"	-0.309532301702909	0.719890454978639	0.123935815232175	0.414200142200667
1	8	"3Iron"	"f"	"random"	-0.341610274041105	0.690809259777218	0.0360997730108923	0.362495449724367
1	8	"3Iron"	"f"	"crossMov"	-0.308736053042525	0.722908014753657	-0.0117295118233416	0.284572915427209
1	8	"Corn"	"c"	"sample"	-0.0773097864952243	0.69625670572355	0.177512801001282	0.3173032001157
1	8	"Corn"	"c"	"random"	-0.0897406425547907	0.60461913436508	0.049200976418545	0.201770451770452
1	8	"Corn"	"c"	"crossMov"	-0.104101443773041	0.607400217481196	-0.0046197723192794	0.15069309332303
1	8	"Corn"	"f"	"sample"	-0.29997597536863	0.728306381130262	0.186985755475137	0.464175999447015
1	8	"Corn"	"f"	"random"	-0.369856485496885	0.676633732121718	-0.0037590856954739	0.338127489214566
1	8	"Corn"	"f"	"crossMov"	-0.329901525213486	0.716912107413371	-0.0158737960101222	0.292122355303288
1	10	"3Iron"	"c"	"sample"	-0.0885184125792422	0.67113155058293	0.203520788890822	0.380976251182649
1	10	"3Iron"	"c"	"random"	-0.115476563607285	0.516255406706191	-0.00730585943332368	0.172494058229352
1	10	"3Iron"	"c"	"crossMov"	-0.0859015318706712	0.666122305629566	-0.00845995815064737	0.0946836507357983
1	10	"3Iron"	"f"	"sample"	-0.317994773514677	0.71053061190357	0.178019993617108	0.478744595641825
1	10	"3Iron"	"f"	"random"	-0.40291662451069	0.661502036557675	-0.00264002210754431	0.373504786346694
1	10	"3Iron"	"f"	"crossMov"	-0.297488712072934	0.739523579885275	0.0114335809012345	0.295887614365491
1	10	"Corn"	"c"	"sample"	-0.0742418517944153	0.652855425178035	0.168944907768762	0.341184517315042
1	10	"Corn"	"c"	"random"	-0.0915462691616186	0.551673176416835	-0.00152925404535956	0.137149227303754
1	10	"Corn"	"c"	"crossMov"	-0.082540814366933	0.666724042101348	0.00426438451216808	0.122333371194363
1	10	"Corn"	"f"	"sample"	-0.276579709556789	0.728615556370819	0.215603108612605	0.487485979126765
1	10	"Corn"	"f"	"random"	-0.355047335761868	0.683067072195419	0.0217668040129494	0.359751769471022
1	10	"Corn"	"f"	"crossMov"	-0.313382478126626	0.705351606814126	0.0141071705893219	0.320797716918453
1	12	"3Iron"	"c"	"sample"	-0.115714895130451	0.617108505213517	0.163487299357982	0.359538866478356
1	12	"3Iron"	"c"	"random"	-0.153237950226772	0.518647143521402	-0.0221759889801931	0.186687806453827
1	12	"3Iron"	"c"	"crossMov"	-0.103101939417313	0.683331154994148	0.0277985935852619	0.167510492676788
1	12	"3Iron"	"f"	"sample"	-0.3421559006709	0.721947561496195	0.220940365597015	0.525055693294385
1	12	"3Iron"	"f"	"random"	-0.477852681500186	0.657393990972776	-0.00692400056595505	0.412725326585734
1	12	"3Iron"	"f"	"crossMov"	-0.338946376276031	0.725315331204589	0.0370848750886304	0.349906260734178
1	12	"Corn"	"c"	"sample"	-0.0948423527810648	0.665555200538585	0.22205814852588	0.407698344275013
1	12	"Corn"	"c"	"random"	-0.123471704981724	0.567423278931703	0.0404291785461737	0.23141222078672
1	12	"Corn"	"c"	"crossMov"	-0.111347658017167	0.599020950580104	0.0263656896470449	0.193915915516793
1	12	"Corn"	"f"	"sample"	-0.322648533522389	0.715995459972797	0.213002718499355	0.505558222944354
1	12	"Corn"	"f"	"random"	-0.434490803650321	0.671257524126617	0.0161196205474506	0.409543335401932
1	12	"Corn"	"f"	"crossMov"	-0.339139039655075	0.709674931628783	0.0357798533292561	0.353665861263334
1	14	"3Iron"	"c"	"sample"	-0.151618185328271	0.638837894986724	0.14961742128519	0.368363121868182
1	14	"3Iron"	"c"	"random"	-0.181700718940956	0.567656983382988	0.0395145007876814	0.286057170701129
1	14	"3Iron"	"c"	"crossMov"	-0.133325383284171	0.681233380179971	-0.00568452947179083	0.151987513814015
1	14	"3Iron"	"f"	"sample"	-0.432635529139761	0.73159964118561	0.222170190246055	0.550615358551779
1	14	"3Iron"	"f"	"random"	-0.55820973633859	0.66350611820529	-0.0141861804313478	0.446247249968869
1	14	"3Iron"	"f"	"crossMov"	-0.400353153358049	0.752217954079199	-0.00731342190257172	0.334747316903326
1	14	"Corn"	"c"	"sample"	-0.1200600664062	0.659768688324516	0.195395732079472	0.395941810749823
1	14	"Corn"	"c"	"random"	-0.161285430052051	0.559000213176971	0.0134913456021306	0.237199581703351
1	14	"Corn"	"c"	"crossMov"	-0.14316605917475	0.634888456901022	-0.00783934860339475	0.170450032842088
1	14	"Corn"	"f"	"sample"	-0.365983545320249	0.737918004995609	0.236207924447682	0.536378954183007
1	14	"Corn"	"f"	"random"	-0.518113740133365	0.672204155169681	-0.000194362164645924	0.433986092496751
1	14	"Corn"	"f"	"crossMov"	-0.409380589320891	0.721627097807575	-0.00961657367255673	0.346096143262383
1	16	"3Iron"	"c"	"sample"	-0.145108758587239	0.676835743326676	0.190650389776457	0.40035948394649
1	16	"3Iron"	"c"	"random"	-0.199686296280138	0.562710747238718	0.0101637890976322	0.267579355902062
1	16	"3Iron"	"c"	"crossMov"	-0.124443411093898	0.70309838996025	0.00177163344891259	0.152826902251809
1	16	"3Iron"	"f"	"sample"	-0.38295409366295	0.751349526650935	0.272872029337713	0.576593576846366
1	16	"3Iron"	"f"	"random"	-0.552702659935206	0.661573276864258	-0.00305374360980045	0.451834855517081
1	16	"3Iron"	"f"	"crossMov"	-0.371122837858818	0.753479967230996	0.00426953376003015	0.331508857232581
1	16	"Corn"	"c"	"sample"	-0.11087683170459	0.68166404185651	0.225763207845733	0.422102654582687
1	16	"Corn"	"c"	"random"	-0.162489849089702	0.512853788727424	0.0098046566387983	0.255508118155262
1	16	"Corn"	"c"	"crossMov"	-0.132974186503045	0.658808313801995	-0.00293736729164028	0.161309034409462
1	16	"Corn"	"f"	"sample"	-0.349784805526475	0.748134049511206	0.279607488902782	0.575907543475434
1	16	"Corn"	"f"	"random"	-0.540294461317831	0.6305215736296	0.00137792128888376	0.459197725869917
1	16	"Corn"	"f"	"crossMov"	-0.370644114943597	0.745703420861282	0.000661929923596801	0.328063692131972
1	18	"3Iron"	"c"	"sample"	-0.140782241449891	0.647926838569521	0.171419762241384	0.395437705740055
1	18	"3Iron"	"c"	"random"	-0.192620514812184	0.57924056499468	0.00712748306782859	0.25977628135308
1	18	"3Iron"	"c"	"crossMov"	-0.126775625774178	0.678190924806225	0.00624745304086233	0.163791510877183
1	18	"3Iron"	"f"	"sample"	-0.443823594477855	0.73128616101588	0.198686760616347	0.542163093239554
1	18	"3Iron"	"f"	"random"	-0.559303300945888	0.671181482680165	-0.00842812968501115	0.448847652738431
1	18	"3Iron"	"f"	"crossMov"	-0.40067731278796	0.731311371267574	0.0134350335071125	0.362936904659544
1	18	"Corn"	"c"	"sample"	-0.115457611931449	0.652857595091661	0.190286225161117	0.396105304411289
1	18	"Corn"	"c"	"random"	-0.167794804332866	0.532822550571915	-0.00897609464688685	0.2242757794835
1	18	"Corn"	"c"	"crossMov"	-0.132151193768386	0.62327508580734	0.00385487189247152	0.176499816282316
1	18	"Corn"	"f"	"sample"	-0.373849409325465	0.72368130773363	0.231602199827843	0.549961716320441
1	18	"Corn"	"f"	"random"	-0.526774329624859	0.651924552208009	-0.00691320287570937	0.4410828774233
1	18	"Corn"	"f"	"crossMov"	-0.424313127077538	0.72084494383749	0.0133169909097438	0.378827204518211
1	20	"3Iron"	"c"	"sample"	-0.134486214662508	0.685846925811163	0.202897211257519	0.416456112463681
1	20	"3Iron"	"c"	"random"	-0.189192555983791	0.571246437846106	0.0218703328872776	0.275727716227377
1	20	"3Iron"	"c"	"crossMov"	-0.116930728721191	0.706485883762767	-0.00423065151423807	0.135731526019653
1	20	"3Iron"	"f"	"sample"	-0.355146990049824	0.746187266949878	0.260928398968994	0.560263886017383
1	20	"3Iron"	"f"	"random"	-0.539999565123213	0.620945367570692	-0.00755749592731004	0.456244119475331
1	20	"3Iron"	"f"	"crossMov"	-0.34375143950148	0.760195750423053	-0.00810435720598894	0.300403294017685
1	20	"Corn"	"c"	"sample"	-0.108961477326205	0.699050096220266	0.243419322009557	0.435596583188951
1	20	"Corn"	"c"	"random"	-0.181898097278466	0.523869813372142	-0.0187466959279677	0.22894695818888
1	20	"Corn"	"c"	"crossMov"	-0.128413352644337	0.674839371722637	-0.00718901717847448	0.148046029750443
1	20	"Corn"	"f"	"sample"	-0.341227002549373	0.757514724777657	0.286886561492413	0.569030953078291
1	20	"Corn"	"f"	"random"	-0.510674654039144	0.656306580795512	-0.0186583825040495	0.421025480097573
1	20	"Corn"	"f"	"crossMov"	-0.359591123921122	0.744733670893811	-0.00966594124475344	0.311609883206285
1	22	"3Iron"	"c"	"sample"	-0.132420821621866	0.6583832484214	0.232544129976461	0.447040558682786
1	22	"3Iron"	"c"	"random"	-0.211742755158326	0.532844530823474	0.0162037576131756	0.301572570205993
1	22	"3Iron"	"c"	"crossMov"	-0.124967108722382	0.680365627708652	0.00855267884403436	0.166919212647342
1	22	"3Iron"	"f"	"sample"	-0.45761545060735	0.731916315229582	0.263487528850797	0.598525441078997
1	22	"3Iron"	"f"	"random"	-0.579923650563398	0.676370359293998	-0.00634349422094428	0.454881855556037
1	22	"3Iron"	"f"	"crossMov"	-0.438024181941762	0.756368955630655	0.0101612725505789	0.373296159537309
1	22	"Corn"	"c"	"sample"	-0.119804795382189	0.672453721118664	0.258942741428688	0.479665364727992
