"Iteration"	"sampleSize"	"movieName"	"grain"	"testCond"	"nearestDistance"	"nPeak_sample"	"ave_samplePeakInterval"	"sd_samplePeakInterval"	"nPeak_test"	"ave_testPeakInterval"	"sd_testPeakInterval"
1	2	"3Iron"	"c"	"sample"	11.0357142857143	14	40.6153846153846	16.7756691944935	14	38.4615384615385	23.1502893596581
1	2	"3Iron"	"c"	"random"	13.1428571428571	14	37.6153846153846	19.358626249205	14	37.3846153846154	28.3946546070983
1	2	"3Iron"	"c"	"crossMov"	20.1363636363636	11	54.2	19.0309689132681	11	50	40.2160830182818
1	2	"3Iron"	"f"	"sample"	2.02542372881356	59	9.46551724137931	5.02699909520643	59	9.63793103448276	3.58700518128967
1	2	"3Iron"	"f"	"random"	4.04761904761905	42	13.0731707317073	7.16725276484107	42	13.219512195122	5.00256032008586
1	2	"3Iron"	"f"	"crossMov"	3.4	50	11.2857142857143	4.42059573662495	50	11.4081632653061	6.92194086265712
1	2	"Corn"	"c"	"sample"	9.3	10	60.2222222222222	19.8857849843662	10	58.1111111111111	24.2716112178634
1	2	"Corn"	"c"	"random"	18.375	12	45	49.0754521120285	12	47.5454545454545	20.1809991643805
1	2	"Corn"	"c"	"crossMov"	12.55	10	58.6666666666667	30.3726850969749	10	58.1111111111111	24.2716112178634
1	2	"Corn"	"f"	"sample"	2.56	50	11.2857142857143	4.42059573662495	50	11.3877551020408	4.13227301519501
1	2	"Corn"	"f"	"random"	3.36458333333333	48	11.9574468085106	4.92092889255549	48	11.6808510638298	5.16302229899741
1	2	"Corn"	"f"	"crossMov"	3.68	50	11	6.5891324669236	50	11.3877551020408	4.13227301519501
1	4	"3Iron"	"c"	"sample"	6.5	21	27.65	9.71853898484746	21	24.75	9.71095420537793
1	4	"3Iron"	"c"	"random"	7.77272727272727	22	25.4285714285714	8.23147270281223	22	25.7619047619048	12.1404479402729
1	4	"3Iron"	"c"	"crossMov"	7.14285714285714	21	27.4	11.8339387045547	21	24.75	9.71095420537793
1	4	"3Iron"	"f"	"sample"	2.93333333333333	60	9.49152542372881	5.20401993607174	60	9.50847457627119	3.46595700749313
1	4	"3Iron"	"f"	"random"	3.08490566037736	53	10.7115384615385	4.28099557076658	53	10.8461538461538	4.25364717963402
1	4	"3Iron"	"f"	"crossMov"	2.80833333333333	60	9.47457627118644	4.15375165779078	60	9.50847457627119	3.46595700749313
1	4	"Corn"	"c"	"sample"	4.55263157894737	19	30.4444444444444	13.4655212092926	19	29.1111111111111	8.64930387466759
1	4	"Corn"	"c"	"random"	8.42105263157895	19	29.9444444444444	13.4884361027041	19	30.2222222222222	10.4406195193443
1	4	"Corn"	"c"	"crossMov"	7.52631578947368	19	29.4444444444444	9.91269075016954	19	29.1111111111111	8.64930387466759
1	4	"Corn"	"f"	"sample"	2.39090909090909	55	10.3518518518519	5.39096871403936	55	10.3333333333333	3.62382056284498
1	4	"Corn"	"f"	"random"	3.12264150943396	53	10.7692307692308	5.4001284829137	53	10.5769230769231	4.64988363272549
1	4	"Corn"	"f"	"crossMov"	3.06363636363636	55	10.3703703703704	5.66117627718566	55	10.3333333333333	3.62382056284498
1	6	"3Iron"	"c"	"sample"	3.825	20	26.5263157894737	14.2531416460942	20	26.1052631578947	10.529823976803
1	6	"3Iron"	"c"	"random"	9.175	20	27.3684210526316	15.7346416345725	20	27.3157894736842	12.7281517885833
1	6	"3Iron"	"c"	"crossMov"	15.4	15	38.7857142857143	15.1361948852542	15	35.4285714285714	29.2014601471446
1	6	"3Iron"	"f"	"sample"	1.49333333333333	75	7.54054054054054	2.5652535413114	75	7.59459459459459	2.55310135829422
1	6	"3Iron"	"f"	"random"	2.44285714285714	70	8.1304347826087	3.53517219598183	70	8.14492753623188	3.70323929076583
1	6	"3Iron"	"f"	"crossMov"	2.24	75	7.51351351351351	3.32381709617963	75	7.59459459459459	2.55310135829422
1	6	"Corn"	"c"	"sample"	8.66666666666667	15	38.7857142857143	15.1361948852542	15	38.9285714285714	24.6185180011192
1	6	"Corn"	"c"	"random"	9.02272727272727	22	26.1904761904762	11.6688433343629	22	26.3809523809524	11.6810795326296
1	6	"Corn"	"c"	"crossMov"	8.36363636363636	22	24	10.770329614269	22	25.952380952381	9.09657182941019
1	6	"Corn"	"f"	"sample"	1.57971014492754	69	8.17647058823529	4.0516853927113	69	8.23529411764706	2.80786553585238
1	6	"Corn"	"f"	"random"	2.21739130434783	69	8.23529411764706	3.33286505344013	69	8.19117647058824	3.13029183199713
1	6	"Corn"	"f"	"crossMov"	2.18115942028985	69	8.20588235294118	3.42318182933639	69	8.23529411764706	2.80786553585238
1	8	"3Iron"	"c"	"sample"	3.58571428571429	35	16.2941176470588	6.30309886154953	35	15.5588235294118	7.27882431594965
1	8	"3Iron"	"c"	"random"	8.64285714285714	21	27.8	12.7179938835122	21	25.6	11.2782977438973
1	8	"3Iron"	"c"	"crossMov"	7.76086956521739	23	25.2727272727273	11.5642380523579	23	24.0454545454545	13.6747151889111
1	8	"3Iron"	"f"	"sample"	1.61643835616438	73	7.81944444444444	2.94229185791481	73	7.75	3.39738922131786
1	8	"3Iron"	"f"	"random"	3.025	60	9.45762711864407	4.0612637488684	60	9.4406779661017	6.165172443377
1	8	"3Iron"	"f"	"crossMov"	2.03333333333333	75	7.58108108108108	2.78453044051555	75	7.54054054054054	3.22315759920188
1	8	"Corn"	"c"	"sample"	4.1304347826087	23	25.2727272727273	11.5642380523579	23	24.8636363636364	12.9882564339793
1	8	"Corn"	"c"	"random"	8.44	25	22.5833333333333	8.37655458208604	25	22.125	17.5184685155534
1	8	"Corn"	"c"	"crossMov"	6.42	25	22.2916666666667	14.1497554646766	25	22.7916666666667	11.8541101537075
1	8	"Corn"	"f"	"sample"	1.56	75	7.58108108108108	2.78453044051555	75	7.54054054054054	3.58149425152078
1	8	"Corn"	"f"	"random"	2.25352112676056	71	7.98571428571429	3.86171418400215	71	8.01428571428571	3.03836749236058
