"Iteration"	"sampleSize"	"movieName"	"grain"	"testCond"	"surpriseIndex"
1	2	"Corn"	"c"	"sample"	9.06877971998036
1	2	"Corn"	"c"	"random"	3.19250524989764
1	2	"Corn"	"c"	"crossMov"	2.99539554586985
1	2	"Corn"	"f"	"sample"	5.32152284514165
1	2	"Corn"	"f"	"random"	1.04206835753873
1	2	"Corn"	"f"	"crossMov"	0.817574195178326
1	2	"3Iron"	"c"	"sample"	3.8044750213455
1	2	"3Iron"	"c"	"random"	1.94150477143575
1	2	"3Iron"	"c"	"crossMov"	6.1569017445458
1	2	"3Iron"	"f"	"sample"	5.03400084304546
1	2	"3Iron"	"f"	"random"	0.272412693361706
1	2	"3Iron"	"f"	"crossMov"	0.221141363110247
1	4	"Corn"	"c"	"sample"	3.30283867106693
1	4	"Corn"	"c"	"random"	2.31271475937002
1	4	"Corn"	"c"	"crossMov"	1.28308252060253
1	4	"Corn"	"f"	"sample"	3.5791196115093
1	4	"Corn"	"f"	"random"	1.5637624285365
1	4	"Corn"	"f"	"crossMov"	0.434753259616844
1	4	"3Iron"	"c"	"sample"	3.13539511691475
1	4	"3Iron"	"c"	"random"	2.11576449715919
1	4	"3Iron"	"c"	"crossMov"	1.76252489145515
1	4	"3Iron"	"f"	"sample"	1.35748954195992
1	4	"3Iron"	"f"	"random"	1.97755862386153
1	4	"3Iron"	"f"	"crossMov"	0.923535163155187
1	6	"Corn"	"c"	"sample"	2.50080029124266
1	6	"Corn"	"c"	"random"	2.42029032314066
1	6	"Corn"	"c"	"crossMov"	1.05886280159455
1	6	"Corn"	"f"	"sample"	5.3317896381373
1	6	"Corn"	"f"	"random"	1.63185392494109
1	6	"Corn"	"f"	"crossMov"	2.0971348966233
1	6	"3Iron"	"c"	"sample"	3.66692404540457
1	6	"3Iron"	"c"	"random"	1.9711334066371
1	6	"3Iron"	"c"	"crossMov"	1.81025717516467
1	6	"3Iron"	"f"	"sample"	6.07194980670695
1	6	"3Iron"	"f"	"random"	1.31190564148433
1	6	"3Iron"	"f"	"crossMov"	1.60291328028896
1	8	"Corn"	"c"	"sample"	3.67531063075961
