"subid"	"grain"	"keypressed"	"condition"	"movieName"	"clipNo"	"bpTime"	"totalMovieDur"
2	"c"	"space"	"Full"	"3Iron"	"1"	18.0786	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	40.5017	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	40.703	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	70.6953	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	80.6116	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	94.6599	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	117.4787	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	138.8323	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	188.2406	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	211.1082	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	246.6002	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	280.5993	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	305.0916	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	305.293	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	337.3476	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	377.7841	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	392.5753	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	422.5328	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	440.8587	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	491.6352	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	498.4197	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	520.433	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	527.9399	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	569.9873	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	581.3204	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	587.7299	589.3222
2	"c"	"space"	"Full"	"3Iron"	"1"	587.9382	589.3222
2	"c"	"space"	"Full"	"Corn"	"1"	13.6662	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	32.9225	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	72.0256	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	98.018	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	146.1627	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	156.9678	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	200.0223	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	271.8604	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	315.9705	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	361.4137	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	361.6151	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	372.1565	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	442.1614	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	462.9735	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	531.909	588.688
2	"c"	"space"	"Full"	"Corn"	"1"	544.4921	588.688
2	"f"	"space"	"Full"	"3Iron"	"1"	2.4605	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	13.2727	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	18.1753	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	20.5711	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	25.7862	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	33.2305	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	40.5636	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	44.737	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	47.6745	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	50.1397	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	52.0702	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	64.8198	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	69.0975	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	74.0281	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	79.8056	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	92.7844	589.3222
2	"f"	"space"	"Full"	"3Iron"	"1"	100.8259	589.3222
