"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"testCond","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean","0.1183948","0.2276715","0.2690988","0.3002861","0.3240113","0.3393032","0.3521635","0.3660929","0.3751815","0.3835627","0.3888878","0.3951401","0.4003245","0.4044804","0.4084148","0.4118430"
"sd","0.13890409","0.11745780","0.08228852","0.06449792","0.05490000","0.04588661","0.03926090","0.03408306","0.03057158","0.02921211","0.02639944","0.02453790","0.02316638","0.02194138","0.02092444","0.02061157"
"lower.quantile","-3.958767e-16"," 7.758544e-02"," 1.528473e-01"," 1.918764e-01"," 2.291478e-01"," 2.565065e-01"," 2.817672e-01"," 3.040048e-01"," 3.150392e-01"," 3.307672e-01"," 3.396775e-01"," 3.491811e-01"," 3.572447e-01"," 3.626656e-01"," 3.695288e-01"," 3.729840e-01"
"upper.quantile","0.3605238","0.5577083","0.4577130","0.4318414","0.4486709","0.4388883","0.4318141","0.4376869","0.4352559","0.4428333","0.4420733","0.4459662","0.4461981","0.4484888","0.4529292","0.4526831"
"effSize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"testCond1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random"
"sampleSize1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean1","0.05496046","0.11025469","0.14228535","0.16562669","0.18543481","0.20418909","0.22119397","0.23578996","0.24806816","0.25963044","0.26920503","0.28175853","0.29082647","0.29930123","0.30894519","0.31487755"
"sd1","0.06329563","0.04839356","0.03855805","0.03420050","0.03322039","0.03159167","0.02792101","0.02703652","0.02589246","0.02610103","0.02525269","0.02361819","0.02340248","0.02275078","0.02190409","0.02215944"
"lower.quantile1","-5.833751e-16"," 1.823607e-02"," 6.446520e-02"," 1.001956e-01"," 1.233053e-01"," 1.417168e-01"," 1.641991e-01"," 1.810359e-01"," 2.000671e-01"," 2.091148e-01"," 2.205551e-01"," 2.338660e-01"," 2.436874e-01"," 2.559915e-01"," 2.669134e-01"," 2.719784e-01"
"upper.quantile1","0.1925000","0.2041150","0.2163661","0.2312989","0.2487226","0.2622100","0.2740371","0.2897633","0.3008380","0.3123571","0.3174994","0.3236108","0.3348436","0.3441973","0.3531275","0.3575964"
"effSize1","0.5876993","1.3071234","1.9735117","2.6085681","3.0540940","3.4299020","3.8445670","4.2358108","4.4870727","4.4740447","4.6330428","4.7080622","4.7025677","4.7060585","4.6437998","4.5312022"
"testCond2","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov"
"sampleSize2"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain2","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
