"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean","0.1500504","0.2570178","0.3121097","0.3431901","0.3636785","0.3879536","0.4025098","0.4131869","0.4236717","0.4346266","0.4419202","0.4484885","0.4548623","0.4596602","0.4656980","0.4693274"
"sd","0.23813678","0.16473838","0.11370419","0.09205713","0.07375609","0.06407617","0.05755997","0.05144822","0.04727497","0.04528446","0.04246807","0.04051867","0.03893797","0.03848161","0.03732197","0.03587023"
"sigma","0.168388133","0.082369188","0.046419540","0.032547112","0.023323724","0.018497198","0.015383549","0.012862056","0.011142817","0.010125914","0.009054223","0.008270839","0.007636363","0.007272341","0.006814028","0.006341021"
"lower.quantile","-6.346957e-16","-7.951789e-17"," 1.152221e-01"," 1.782697e-01"," 2.301219e-01"," 2.682443e-01"," 2.970702e-01"," 3.212305e-01"," 3.367779e-01"," 3.550300e-01"," 3.658256e-01"," 3.778977e-01"," 3.861874e-01"," 3.907348e-01"," 3.997766e-01"," 4.064408e-01"
"upper.quantile","1.0000000","0.6186012","0.5544944","0.5388074","0.5192751","0.5203072","0.5249619","0.5236132","0.5262192","0.5353069","0.5321205","0.5345502","0.5405112","0.5411687","0.5451566","0.5454339"
"sampleSize.1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain.1","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"mean.1","0.3880041","0.5126712","0.5582889","0.5832269","0.5993893","0.6136424","0.6235689","0.6285749","0.6346903","0.6389584","0.6424866","0.6462115","0.6493477","0.6506330","0.6541078","0.6556077"
"sd.1","0.21466647","0.12861634","0.09312501","0.07632843","0.06609135","0.05926625","0.05528025","0.05220805","0.04903189","0.04698067","0.04628845","0.04494388","0.04429950","0.04343999","0.04231395","0.04094538"
"sigma.1","0.151792116","0.064308171","0.038018127","0.026986176","0.020899921","0.017108693","0.014774270","0.013052013","0.011556928","0.010505197","0.009868732","0.009174131","0.008687847","0.008209387","0.007725435","0.007238189"
"lower.quantile.1","4.890501e-16","2.666572e-01","3.737229e-01","4.288341e-01","4.702491e-01","4.995514e-01","5.196668e-01","5.319921e-01","5.431116e-01","5.539126e-01","5.592476e-01","5.675759e-01","5.704152e-01","5.757581e-01","5.814056e-01","5.858879e-01"
"upper.quantile.1","1.0000000","0.7619238","0.7314841","0.7262078","0.7258962","0.7232933","0.7280313","0.7275800","0.7263851","0.7277939","0.7297778","0.7308447","0.7323111","0.7306969","0.7314234","0.7317533"
