"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"testCond","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean","10.199846"," 6.887595"," 5.559337"," 4.785527"," 4.348507"," 4.088350"," 3.791837"," 3.585031"," 3.487167"," 3.354494"," 3.209009"," 3.144341"," 3.033817"," 2.955734"," 2.872664"," 2.813276"
"sd","3.3393488","2.1025923","1.4922724","1.2262982","1.1124639","1.1291913","1.0476075","1.0670519","0.9968951","0.9761477","0.9773934","0.9736186","0.9531619","0.9698959","0.8994490","0.9131696"
"lower.quantile","5.416544","3.814770","3.210471","2.806290","2.624792","2.285446","2.112798","1.884259","1.869565","1.775662","1.648090","1.629274","1.462802","1.374884","1.365302","1.288393"
"upper.quantile","18.350972","11.895536"," 9.000521"," 7.632456"," 6.928968"," 6.605134"," 6.236921"," 6.131699"," 5.847880"," 5.440250"," 5.437500"," 5.369701"," 5.192391"," 5.152915"," 4.952435"," 4.820696"
"effSize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"testCond1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random"
"sampleSize1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean1","13.171305"," 9.611678"," 8.501587"," 8.029154"," 7.898039"," 7.903374"," 7.986606"," 8.003186"," 8.073252"," 8.333745"," 8.355531"," 8.446973"," 8.488970"," 8.553374"," 8.623608"," 8.753371"
"sd1","4.245888","2.414190","1.910027","1.765090","1.788294","1.732353","1.706645","1.710069","1.640164","1.768624","1.652245","1.688267","1.724231","1.663870","1.675014","1.781916"
"lower.quantile1","7.732391","6.226948","5.629389","5.366635","5.225518","5.319917","5.388889","5.403664","5.538021","5.666500","5.750000","5.874554","5.941595","5.962847","5.977911","6.180000"
"upper.quantile1","23.18977","15.21470","13.03897","12.08824","12.00057","11.88904","12.04768","12.11920","11.94809","12.52355","12.15235","12.27156","12.38166","12.35759","12.52557","12.95125"
"effSize1","0.7779486","1.2033450","1.7166732","2.1342991","2.3834785","2.6090800","2.9624054","3.0998161","3.3790999","3.4857911","3.7913831","3.8478557","3.9158199","4.1103811","4.2777868","4.1955107"
"testCond2","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov"
"sampleSize2"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain2","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean2","12.971321","10.369633"," 9.068621"," 8.483036"," 8.148098"," 8.102547"," 8.216924"," 8.392380"," 8.534951"," 8.816185"," 8.983231"," 9.072670"," 9.096583"," 9.263202"," 9.442931"," 9.463905"
"sd2","4.268402","2.559789","2.105113","2.068144","1.904014","1.974993","1.902481","1.893698","1.790411","1.832802","1.735393","1.688212","1.651073","1.605455","1.576716","1.593998"
