"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"testCond","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean","11.273928"," 8.323119"," 7.285911"," 6.757530"," 6.316009"," 5.908363"," 5.658438"," 5.434957"," 5.282371"," 5.184987"," 5.074499"," 4.865365"," 4.722402"," 4.633546"," 4.562202"," 4.409298"
"sd","8.020350","5.072886","4.114073","3.802402","3.562612","3.296469","3.178782","3.164248","2.928388","3.111238","3.119417","2.904540","3.041889","2.940604","2.970843","2.832807"
"lower.quantile","2.7500000","2.3121875","2.1250000","1.9702819","1.7500000","1.5000000","1.3750000","1.2142857","1.0454545","0.9988636","0.9000000","0.8500000","0.6243750","0.6428571","0.5710317","0.5500000"
"upper.quantile","31.36280","20.60063","17.35714","15.80083","15.28571","14.28750","13.25000","12.63653","12.37656","12.43036","12.30083","11.66750","11.43906","11.35759","10.90980","10.85018"
"effSize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"testCond1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random"
"sampleSize1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean1","16.55199","13.32069","12.75406","12.61821","12.28303","12.41547","12.39217","12.52530","12.67400","12.60386","12.58975","12.66088","12.53251","12.64040","12.79715","12.81132"
"sd1","11.165301"," 7.357369"," 6.270282"," 5.911560"," 5.524265"," 5.368738"," 5.289221"," 5.110904"," 5.250318"," 5.146817"," 5.208800"," 5.068449"," 4.982241"," 4.914707"," 5.129305"," 5.055607"
"lower.quantile1","5.470490","4.937188","4.856808","5.205735","5.437277","5.700000","5.807292","5.964286","6.076667","6.115385","6.000000","6.285516","6.208333","6.250000","6.299444","6.416477"
"upper.quantile1","46.00000","31.67292","28.64286","27.78929","26.16786","26.25000","25.41875","25.50278","25.33333","25.28750","25.66806","25.31362","24.43036","25.58482","25.57173","25.57433"
"effSize1","0.5429627","0.7908526","1.0311570","1.1791760","1.2837543","1.4607042","1.5431903","1.6681121","1.7388151","1.7445425","1.7505200","1.8872102","1.8921205","1.9771066","1.9647246","2.0503731"
"testCond2","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov"
"sampleSize2"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain2","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean2","17.24814","14.89475","14.70782","14.70793","14.60566","14.71648","14.87053","14.88653","15.05058","15.19387","15.30305","15.34719","15.42669","15.41436","15.40241","15.51596"
"sd2","7.233124","5.067395","4.348913","3.729080","3.442483","3.380558","3.254477","3.131903","3.066427","3.076925","2.978474","2.898747","2.904467","2.842307","2.754603","2.747852"
