"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"testCond","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean","1.348536","1.662676","1.978253","2.271585","2.608635","2.841276","3.135652","3.314465","3.516459","3.639827","3.807871","3.928576","4.039383","4.184664","4.270139","4.365288"
"sd","2.359627","1.107428","1.057707","1.003907","1.089135","1.093560","1.117386","1.118029","1.136730","1.079980","1.069675","1.067892","1.057466","1.042014","1.067177","1.054051"
"lower.quantile","-1.601713e-16"," 1.314452e-01"," 5.243035e-01"," 7.119344e-01"," 1.022630e+00"," 1.182912e+00"," 1.408428e+00"," 1.480494e+00"," 1.660583e+00"," 1.893010e+00"," 1.996838e+00"," 2.088071e+00"," 2.181834e+00"," 2.367579e+00"," 2.471513e+00"," 2.577718e+00"
"upper.quantile","5.250753","4.116783","4.695480","4.727858","5.236736","5.402231","5.752312","5.820517","6.112688","6.080505","6.193367","6.282953","6.476873","6.423343","6.523725","6.692655"
"effSize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"testCond1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random"
"sampleSize1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean1","0.7326449","0.8111384","0.8426263","0.8824081","0.8740702","0.8817598","0.8841867","0.8831605","0.8755280","0.8843888","0.8681460","0.8733711","0.8755200","0.8753683","0.8775429","0.8732489"
"sd1","0.9297052","0.6308697","0.5193909","0.4620649","0.4125640","0.3840774","0.3508291","0.3338547","0.3155913","0.3046711","0.2909574","0.2868000","0.2844456","0.2716348","0.2630293","0.2542166"
"lower.quantile1","-3.203427e-16","-8.008566e-17"," 9.954152e-02"," 1.748031e-01"," 1.842323e-01"," 2.673360e-01"," 3.162225e-01"," 3.233856e-01"," 3.468724e-01"," 3.480409e-01"," 3.854021e-01"," 3.790309e-01"," 3.746799e-01"," 4.047903e-01"," 4.365464e-01"," 4.375826e-01"
"upper.quantile1","3.135319","2.414024","2.060794","1.946453","1.772882","1.719132","1.655840","1.652979","1.604024","1.530545","1.507253","1.502490","1.504405","1.464745","1.464200","1.418823"
"effSize1","0.3434310","0.9448732","1.3629381","1.7776875","2.1062398","2.3909083","2.7186998","2.9468225","3.1658542","3.4726555","3.7503380","3.9075507","4.0859860","4.3461084","4.3652046","4.5546536"
"testCond2","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov"
"sampleSize2"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain2","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean2","0.7454220","0.8251232","0.8364692","0.8649183","0.8772230","0.8571515","0.8676328","0.8586450","0.8679950","0.8507602","0.8527472","0.8651067","0.8572808","0.8769181","0.8691664","0.8697318"
