"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"testCond","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean","1.678572","1.599988","1.921922","2.164292","2.326262","2.609696","2.792199","2.926330","3.091878","3.214191","3.344240","3.460675","3.515590","3.559871","3.686460","3.762563"
"sd","3.400192","1.808696","1.572344","1.582417","1.497266","1.495583","1.467351","1.428520","1.494073","1.424933","1.428656","1.371939","1.368357","1.353322","1.321122","1.297349"
"lower.quantile","-3.203427e-16","-1.201285e-16","-2.669522e-17"," 8.008566e-17"," 2.143595e-01"," 4.765579e-01"," 6.079971e-01"," 7.184426e-01"," 7.680277e-01"," 9.593113e-01"," 1.006301e+00"," 1.193329e+00"," 1.256851e+00"," 1.315586e+00"," 1.555304e+00"," 1.618993e+00"
"upper.quantile","10.237893"," 6.090986"," 5.992923"," 6.039711"," 6.100674"," 6.167120"," 6.311249"," 6.326664"," 6.636200"," 6.451892"," 6.591237"," 6.546969"," 6.511029"," 6.627275"," 6.674582"," 6.703539"
"effSize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"testCond1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random"
"sampleSize1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean1","0.4459743","0.5085900","0.5141156","0.5177016","0.5261909","0.5192707","0.5213904","0.5161891","0.5337496","0.5330615","0.5331194","0.5462087","0.5324796","0.5274192","0.5342803","0.5373192"
"sd1","0.9353972","0.6234700","0.5319135","0.4627182","0.4293089","0.3930870","0.3677784","0.3517343","0.3345410","0.3234677","0.3191842","0.3050129","0.2915769","0.2873631","0.2814895","0.2808720"
"lower.quantile1","-3.203427e-16","-1.601713e-16","-1.334761e-16","-1.401499e-16","-1.121199e-16","-8.008566e-17","-4.576324e-17","-5.005354e-17","-8.898407e-18"," 2.402570e-17"," 2.184154e-17"," 5.623998e-02"," 5.847129e-02"," 6.543513e-02"," 7.337105e-02"," 7.121069e-02"
"upper.quantile1","3.240328","2.121796","1.825003","1.633990","1.557435","1.434777","1.376735","1.309052","1.291957","1.250238","1.246570","1.223843","1.173244","1.177106","1.162789","1.159530"
"effSize1","0.4943007","0.8067740","1.1994486","1.4124192","1.6343656","1.9117623","2.1229089","2.3168080","2.3628850","2.5949384","2.7157498","2.9326683","3.0153842","3.0997840","3.3002140","3.4361655"
"testCond2","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov"
"sampleSize2"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain2","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
