"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean"," 5.520246"," 5.798299"," 6.087183"," 6.404621"," 6.660262"," 7.019256"," 7.321181"," 7.644231"," 7.999249"," 8.362845"," 8.678314"," 9.060572"," 9.430621"," 9.791337","10.138550","10.496586"
"sd","1.974739","1.621598","1.578716","1.502226","1.457070","1.473465","1.468676","1.418240","1.521817","1.512161","1.491562","1.600105","1.624224","1.660463","1.645057","1.620071"
"sigma","1.3963510","0.8107990","0.6445081","0.5311169","0.4607659","0.4253528","0.3925201","0.3545599","0.3586957","0.3381296","0.3180021","0.3266200","0.3185365","0.3137980","0.3003449","0.2863908"
"lower.quantile","3.002012","3.514718","3.835316","4.155722","4.469237","4.769379","5.025420","5.332430","5.598426","5.923928","6.130760","6.435659","6.724441","6.963389","7.339788","7.659164"
"upper.quantile","10.059818"," 9.627812"," 9.739741"," 9.976428"," 9.981293","10.275884","10.547703","10.624102","11.234678","11.642239","11.673131","12.387600","12.749892","13.319888","13.634115","13.701778"
"sampleSize.1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain.1","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"mean.1"," 8.487885"," 9.021501"," 9.503683","10.015514","10.351924","10.827287","11.297408","11.910987","12.443992","12.885259","13.262485","13.621222","13.842102","14.074798","14.304217","14.508116"
"sd.1","2.094830","1.723592","1.594552","1.566741","1.425265","1.409838","1.407989","1.407323","1.412342","1.394525","1.367996","1.426379","1.447742","1.444437","1.440245","1.481906"
"sigma.1","1.4812683","0.8617958","0.6509732","0.5539265","0.4507085","0.4069851","0.3763010","0.3518306","0.3328921","0.3118254","0.2916577","0.2911585","0.2839256","0.2729729","0.2629516","0.2619664"
"lower.quantile.1"," 5.254377"," 6.138200"," 6.738200"," 7.272255"," 7.789637"," 8.362148"," 8.883967"," 9.362168","10.037784","10.454327","10.879529","11.103934","11.300761","11.622475","11.848304","11.975746"
"upper.quantile.1","13.12257","12.73270","12.90545","13.22805","13.40242","13.79907","14.27156","14.98634","15.53820","16.00351","16.19535","16.74653","17.02064","17.27626","17.53235","17.74328"
