"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"testCond","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample"
"sampleSize"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean","21.47802","15.73719","20.55388","20.05858","19.72103","20.09499","20.01311","20.65134","20.81049","21.27799","21.65455","22.06392","22.19234","22.57368","22.80576","23.02781"
"sd","425.700581"," 11.460756"," 17.172276"," 16.746090"," 14.081258"," 12.968835"," 11.322233"," 10.653843","  9.434861","  8.813081","  8.488643","  8.309307","  7.825350","  7.306335","  6.980375","  6.716563"
"lower.quantile"," 1.971638"," 4.216324"," 4.921204"," 5.482004"," 6.634214"," 6.999919"," 7.888576"," 8.460201"," 9.164406"," 9.626100","10.009086","10.615442","11.060927","11.403687","11.695618","12.292361"
"upper.quantile","20.99592","47.89462","75.98042","75.82435","66.67614","59.60517","50.34177","51.39689","45.77910","45.38422","44.32080","42.49562","41.33872","39.68928","38.64552","38.57812"
"effSize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"testCond1","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random"
"sampleSize1"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"mean1","6.552137","8.821359","8.445973","7.440990","6.853408","6.423112","6.107601","5.832616","5.656349","5.504650","5.333478","5.222924","5.106044","5.013340","4.938786","4.842081"
"sd1","6.5512082","4.8445402","3.8244857","2.8511229","2.2305610","1.8997396","1.6657807","1.4727536","1.3314066","1.2514332","1.1713221","1.0990163","1.0151932","0.9653754","0.9511752","0.8731914"
"lower.quantile1","1.470659","2.848273","4.039257","3.933665","3.856380","3.766235","3.738814","3.588277","3.610282","3.565378","3.473511","3.480440","3.497402","3.413502","3.389225","3.397662"
"upper.quantile1","19.289084","20.581010","17.812409","14.404593","12.366559","10.960895","10.170896"," 9.400264"," 8.776319"," 8.345727"," 8.129740"," 7.731280"," 7.425044"," 7.146448"," 7.168624"," 6.709213"
"effSize1","0.04957919","0.78604607","0.97329423","1.05044444","1.27641028","1.47513597","1.71838203","1.94853870","2.24920546","2.50597110","2.69357867","2.84152927","3.06220908","3.36969160","3.58667607","3.79716155"
"testCond2","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample","sample"
"sampleSize2"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain2","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"mean2"," 9.562476","12.378744","11.695415","11.409447","11.518603","11.947162","12.305007","12.733806","12.847167","12.921130","13.060571","13.214434","13.317353","13.347322","13.414729","13.539904"
"sd2","5.025431","4.944655","4.207047","4.064341","4.191721","4.290450","4.113654","4.028626","3.810492","3.599167","3.562518","3.532657","3.523116","3.425257","3.513976","3.474693"
"lower.quantile2","2.399898","5.106133","5.539041","5.807923","5.932287","6.070874","6.240641","6.547146","6.617823","6.899178","7.216202","7.505652","7.772171","7.827540","7.755844","7.964645"
"upper.quantile2","20.94111","23.66212","20.80153","21.40526","22.24467","22.19296","21.87321","21.82924","21.01619","21.02143","21.46846","21.40671","21.48127","21.45447","21.63655","21.72276"
"effSize2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"testCond3","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random","random"
"sampleSize3"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain3","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"mean3","9.373525","9.814200","8.720903","7.934979","7.394525","7.004041","6.713118","6.463292","6.280172","6.098526","6.027073","5.941002","5.898941","5.851393","5.829077","5.809611"
"sd3","4.1281692","2.3861304","1.7001552","1.3497549","1.0733096","0.8875455","0.8122960","0.7573816","0.7276708","0.6789117","0.6836577","0.6680514","0.6860095","0.6886946","0.6757987","0.6773460"
"lower.quantile3","1.942754","6.448857","6.160665","5.942702","5.712582","5.581344","5.370296","5.218960","5.048742","4.951780","4.865199","4.785857","4.743299","4.707395","4.700262","4.691700"
"upper.quantile3","19.068795","15.514754","12.665856","11.068505"," 9.880752"," 9.056309"," 8.508044"," 8.181307"," 7.867149"," 7.562262"," 7.491224"," 7.402861"," 7.359268"," 7.396878"," 7.306321"," 7.233477"
"effSize3","0.04108757","0.66058730","0.92705353","1.14734852","1.34790645","1.59556402","1.88599160","2.16331024","2.39399249","2.63433498","2.74205564","2.86103404","2.92292835","3.03418190","2.99793828","3.08813163"
